priority,machine_id,alert_level,action_type,cost_at_risk,urgency_score,window_days,expected_savings,suggestion
1,CNC_025,ALARM,preventive_repair,17043.00,100.00,1,11930.10,"[高风险等级] 1日内执行预防性维修。日产值风险：$7,410。立即处理可避免紧急维修成本约：~$11,930。重点关注：Parameters out of range: Amperage (z=7.8)"
2,CNC_012,ALARM,preventive_repair,16493.40,100.00,3,11545.38,"[高风险等级] 3日内执行预防性维修。日产值风险：$7,854。立即处理可避免紧急维修成本约：~$11,545。重点关注：High-cost machine ($5,498 at risk) at ALARM level"
3,CNC_067,ALARM,immediate_shutdown,16401.00,100.00,0,11480.70,"*** 立即停机 *** 参数偏离已达临界值。日产值暴露：$7,455。启动应急预案，立即联系维护主管。根因推测：CRITICAL: Z-score max = 10.7 — extreme deviation from baseline。"
4,CNC_089,ALARM,preventive_repair,15663.00,100.00,3,10964.10,"[中风险等级] 3日内执行预防性维修。日产值风险：$6,810。立即处理可避免紧急维修成本约：~$10,964。重点关注：Parameters out of range: Voltage (z=3.0), Amperage (z=3.3)"
5,CNC_019,ALARM,schedule_inspection,14079.00,85.00,7,9855.30,"[中风险等级] 7日内安排检查。重点项：Parameters out of range: Voltage (z=-3.3), Temperature (z=2.9)。日产值风险：$7,410。建议检查项：电气特征分析、热成像、物理检查。"
6,CNC_081,ALARM,schedule_inspection,12775.60,85.00,7,8942.92,"[低风险等级] 7日内安排检查。重点项：Parameters out of range: Temperature (z=4.6)。日产值风险：$6,724。建议检查项：电气特征分析、热成像、物理检查。"
7,CNC_043,ALARM,schedule_inspection,12170.40,85.00,7,8519.28,"[低风险等级] 7日内安排检查。重点项：Parameters out of range: Temperature (z=-4.3)。日产值风险：$5,532。建议检查项：电气特征分析、热成像、物理检查。"
8,CNC_063,ALARM,preventive_repair,11875.20,85.00,1,8312.64,"[低风险等级] 1日内执行预防性维修。日产值风险：$4,948。立即处理可避免紧急维修成本约：~$8,313。重点关注：Parameters out of range: Voltage (z=6.4), Temperature (z=-5.4)"
9,CNC_005,ALARM,schedule_inspection,10829.00,85.00,7,7580.30,"[低风险等级] 7日内安排检查。重点项：Parameters out of range: Temperature (z=2.9)。日产值风险：$4,165。建议检查项：电气特征分析、热成像、物理检查。"
10,CNC_085,WARNING,increase_monitoring,19323.20,66.00,14,13526.24,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
11,CNC_034,WARNING,increase_monitoring,18781.80,66.00,14,13147.26,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
12,CNC_087,WARNING,increase_monitoring,18652.80,66.00,14,13056.96,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
13,CNC_064,WARNING,increase_monitoring,18308.00,66.00,14,12815.60,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
14,CNC_036,WARNING,increase_monitoring,18080.00,66.00,14,12656.00,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
15,CNC_033,WARNING,increase_monitoring,16684.80,66.00,14,11679.36,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
16,CNC_013,WARNING,increase_monitoring,16228.80,66.00,14,11360.16,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
17,CNC_054,WARNING,increase_monitoring,15927.50,66.00,14,11149.25,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
18,CNC_097,WARNING,increase_monitoring,15704.40,66.00,14,10993.08,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
19,CNC_091,WARNING,increase_monitoring,15645.00,66.00,14,10951.50,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
20,CNC_042,WARNING,increase_monitoring,15398.50,66.00,14,10778.95,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
21,CNC_083,WARNING,increase_monitoring,14889.60,55.00,14,10422.72,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
22,CNC_058,WARNING,increase_monitoring,14856.00,55.00,14,10399.20,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
23,CNC_072,WARNING,increase_monitoring,14531.40,55.00,14,10171.98,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
24,CNC_048,WARNING,increase_monitoring,14487.00,55.00,14,10140.90,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
25,CNC_065,WARNING,increase_monitoring,14400.00,55.00,14,10080.00,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
26,CNC_017,WARNING,schedule_inspection,14164.80,55.00,7,9915.36,"[中风险等级] 7日内安排检查。重点项：Specific pattern 'voltage_drift' detected。日产值风险：$5,448。建议检查项：电气特征分析、热成像、物理检查。"
27,CNC_039,WARNING,increase_monitoring,14124.00,55.00,14,9886.80,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
28,CNC_073,WARNING,increase_monitoring,14028.00,55.00,14,9819.60,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
29,CNC_071,WARNING,increase_monitoring,13976.00,55.00,14,9783.20,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
30,CNC_093,WARNING,schedule_inspection,13363.00,55.00,7,9354.10,"[低风险等级] 7日内安排检查。重点项：Pattern 'combined_degradation' — schedule inspection。日产值风险：$5,810。建议检查项：电气特征分析、热成像、物理检查。"
31,CNC_066,WARNING,increase_monitoring,13208.40,55.00,14,9245.88,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
32,CNC_009,WARNING,schedule_inspection,13073.20,55.00,7,9151.24,"[低风险等级] 7日内安排检查。重点项：Specific pattern 'thermal_buildup' detected。日产值风险：$5,684。建议检查项：电气特征分析、热成像、物理检查。"
33,CNC_096,WARNING,schedule_inspection,12954.00,55.00,7,9067.80,"[低风险等级] 7日内安排检查。重点项：Specific pattern 'thermal_buildup' detected。日产值风险：$6,477。建议检查项：电气特征分析、热成像、物理检查。"
34,CNC_049,WARNING,increase_monitoring,12641.20,55.00,14,8848.84,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
35,CNC_095,WARNING,increase_monitoring,12540.00,55.00,14,8778.00,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
36,CNC_070,WARNING,increase_monitoring,12089.00,55.00,14,8462.30,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
37,CNC_056,WARNING,schedule_inspection,11875.60,55.00,7,8312.92,"[低风险等级] 7日内安排检查。重点项：Pattern 'combined_degradation' — schedule inspection。日产值风险：$5,398。建议检查项：电气特征分析、热成像、物理检查。"
38,CNC_068,WARNING,schedule_inspection,11840.40,55.00,7,8288.28,"[低风险等级] 7日内安排检查。重点项：Specific pattern 'thermal_buildup' detected。日产值风险：$5,382。建议检查项：电气特征分析、热成像、物理检查。"
39,CNC_037,WARNING,increase_monitoring,11656.50,55.00,14,8159.55,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
40,CNC_077,WARNING,increase_monitoring,11642.40,55.00,14,8149.68,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
41,CNC_055,WARNING,schedule_inspection,11575.90,55.00,7,8103.13,"[低风险等级] 7日内安排检查。重点项：Pattern 'combined_degradation' — schedule inspection。日产值风险：$5,033。建议检查项：电气特征分析、热成像、物理检查。"
42,CNC_057,WARNING,increase_monitoring,11524.00,55.00,14,8066.80,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
43,CNC_023,WARNING,increase_monitoring,11508.00,55.00,14,8055.60,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
44,CNC_028,WARNING,increase_monitoring,11495.40,55.00,14,8046.78,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
45,CNC_047,WARNING,increase_monitoring,11182.60,55.00,14,7827.82,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
46,CNC_016,WARNING,increase_monitoring,11143.50,55.00,14,7800.45,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
47,CNC_044,WARNING,increase_monitoring,11142.60,55.00,14,7799.82,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
48,CNC_078,WARNING,schedule_inspection,11075.40,55.00,7,7752.78,"[低风险等级] 7日内安排检查。重点项：Specific pattern 'voltage_drift' detected。日产值风险：$5,274。建议检查项：电气特征分析、热成像、物理检查。"
49,CNC_086,WARNING,schedule_inspection,9570.00,44.00,7,6699.00,"[低风险等级] 7日内安排检查。重点项：Specific pattern 'voltage_drift' detected。日产值风险：$3,828。建议检查项：电气特征分析、热成像、物理检查。"
50,CNC_053,WARNING,schedule_inspection,9027.50,44.00,7,6319.25,"[低风险等级] 7日内安排检查。重点项：Specific pattern 'voltage_drift' detected。日产值风险：$3,925。建议检查项：电气特征分析、热成像、物理检查。"
51,CNC_035,WARNING,increase_monitoring,8937.60,44.00,14,6256.32,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
52,CNC_001,WARNING,increase_monitoring,8586.00,44.00,14,6010.20,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
53,CNC_059,WARNING,schedule_inspection,8347.50,44.00,7,5843.25,"[低风险等级] 7日内安排检查。重点项：Pattern 'power_anomaly' — schedule inspection。日产值风险：$3,975。建议检查项：电气特征分析、热成像、物理检查。"
54,CNC_022,WARNING,increase_monitoring,7748.20,44.00,14,5423.74,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
55,CNC_014,WARNING,increase_monitoring,6419.20,44.00,14,4493.44,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
56,CNC_074,WARNING,schedule_inspection,6404.20,44.00,7,4482.94,"[低风险等级] 7日内安排检查。重点项：Specific pattern 'thermal_buildup' detected。日产值风险：$2,911。建议检查项：电气特征分析、热成像、物理检查。"
57,CNC_052,WARNING,schedule_inspection,6172.80,44.00,7,4320.96,"[低风险等级] 7日内安排检查。重点项：Pattern 'combined_degradation' — schedule inspection。日产值风险：$2,572。建议检查项：电气特征分析、热成像、物理检查。"
58,CNC_084,WARNING,schedule_inspection,5871.60,44.00,7,4110.12,"[低风险等级] 7日内安排检查。重点项：Pattern 'power_anomaly' — schedule inspection。日产值风险：$2,796。建议检查项：电气特征分析、热成像、物理检查。"
59,CNC_069,WARNING,schedule_inspection,5520.00,44.00,7,3864.00,"[低风险等级] 7日内安排检查。重点项：Specific pattern 'thermal_buildup' detected。日产值风险：$2,300。建议检查项：电气特征分析、热成像、物理检查。"
60,CNC_092,WARNING,schedule_inspection,4800.40,44.00,7,3360.28,"[低风险等级] 7日内安排检查。重点项：Pattern 'combined_degradation' — schedule inspection。日产值风险：$2,182。建议检查项：电气特征分析、热成像、物理检查。"
61,CNC_061,WATCH,increase_monitoring,678.00,24.00,7,474.60,加密监控至每7日一次。跟踪指标：Mild pattern 'voltage_drift' — increase monitoring。如参数继续偏移，升级为安排检查。
62,CNC_015,WATCH,increase_monitoring,395.12,24.00,7,276.58,加密监控至每7日一次。跟踪指标：Mild pattern 'voltage_drift' — increase monitoring。如参数继续偏移，升级为安排检查。
